id	title	duration_seconds
AsyzTi29OOk	Mafia 2 Jimmy's Vendetta - 11. The Good Word HD	355.0
AwuW5-keJMQ	Star Trek TNG Romulan Warbird Light and Sound Attack Cruiser by Playmates 1993 demo	34.0
BCmhkOCaw0Q	Join me on my new You Tube channel - Garage Flips	63.0
BDA93HfsMwM	Sony Psyc CFD-E95 CD Radio Cassette Boombox Demo - Y2K Era Classic	64.0
BH_zgf6O6vk	Sony DCR TRV740 Video 8mm Camera demo	134.0
BIE89cz_kq0	1997 Stanley Tools Retro TV Commercial Ad	30.0
BJ93XCcD858	How to use a 1602 i2c Serial LCD Display with Arduino	307.0
BSLjkawE6QY	1987 New Generation Electronics Store Baton Rouge Retro TV Commercial Ad	30.0
BjKCRFVUciM	Diamond VC500ST Standalone VHS to digital converter review	423.0
BqBfjwjPJ9g	1998 Jurassic Park Chaos Effect T-Rex demo	66.0
BrO8rNcaNuY	1987 United Airlines "I Need a Vacation" Retro TV Commercial Ad	32.0
BsepLU5xlsc	Arduino - Play the Super Mario Bros Theme song and how to use Tone	403.0
Bt-FEkC2PnU	1988 Brian Bosworth Right Guard Retro TV Commercial Ad	30.0
BvBhG7YojaA	1987 Wendys Big Classic Retro TV Commercial Ad	31.0
By0WrmwKy2A	Sarge's Surplus Hut Light-up Playset Demo (Cars Precision Series)	103.0
CAQdRBQTIJQ	Jimmy's Vendetta - Mafia 2 PC Game DLC - 19. Berkley Kingfisher Theft HD	330.0
CF8myznTxWQ	1987 Lucky Dog Food Bulldog Retro TV Commercial Ad	31.0
CPkgIX9PIGc	Mafia 2 Jimmy's Vendetta DLC Gameplay - PC Walkthrough Part 1	3652.0
CUa89r5NhkU	Lake Catherine State Park - Hiking And Rowing	101.0
CUjfp9RAn44	Playing Q*Bert on Vintage 1983 Parker Brother Mini Arcade Game HD 1080p	199.0
CVMslXUygp0	Jimmy's Vendetta - Mafia 2 PC Game DLC - 14. Tanker Trouble HD	433.0
CW6vLuMgotg	1987 Dominos Pizza 30 Minute Guarantee Retro TV Commercial Ad	31.0
CcyTetyM0zM	Canoeing at Lake Fausse Point State Park Louisiana	348.0
CjYhiidhIk0	Frey Scientific Full Size Human Anatomy Torso Model	143.0
CpFlqZMrEPc	Disney World Road Trip 2012 — Louisiana to Orlando 12-Hour Family Drive + All-Star Music Resort Arri	1031.0
D4YZFaGLajk	Sony TRV340 8mm Handycam Camcorder demo	159.0
D9_hpqmQ2AY	Joe's Adventures - Mafia 2 PC Game- DLC - 4. The Witness HD	299.0
DGYEfYLy6g8	Stellaris Launchpad unboxing and Hello World blink RGB LED	795.0
